singer,date,song,streams,url_list,gender,language
by (G)I-DLE,8,8,8,8,G,Other
by 193,16,16,16,16,M,Can
by 24kGoldn,41,41,41,41,M,Eng
by 831,51,51,51,51,G,Man
"by 88rising, Rich Brian, NIKI",1,1,1,1,G,Eng
by A-Lin,16,16,16,16,F,Man
"by ACRAZE, Cherish",1,1,1,1,G,Eng
by AGA,81,81,81,81,F,Can
by AKMU,1,1,1,1,G,Other
by ANSONBEAN,1,1,1,1,M,Can
by Adele,40,40,40,40,F,Eng
by Aimer,5,5,5,5,F,Other
by Alan Po,3,3,3,3,M,Can
"by Alan Walker, Benjamin Ingrosso",1,1,1,1,G,Other
"by Alan Walker, salem ilese",1,1,1,1,G,Other
by Alesso,1,1,1,1,M,Eng
"by Alesso, Marshmello",1,1,1,1,G,Eng
by Alfred Hui,18,18,18,18,M,Can
by Amy Grant,1,1,1,1,F,Eng
by Andy Williams,4,4,4,4,M,Eng
by Angela Hui,22,22,22,22,F,Can
by Anita Mui,14,14,14,14,F,Can
by Anne-Marie,41,41,41,41,F,Eng
"by Anne-Marie, Niall Horan",9,9,9,9,G,Eng
by Anson Kong 江𤒹生,44,44,44,44,M,Can
"by Anson Kong 江𤒹生, Lokman Yeung 楊樂文",9,9,9,9,G,Can
"by Anson Kong 江𤒹生, 陳卓賢 Ian",38,38,38,38,G,Can
by Anson Lo 盧瀚霆,98,98,98,98,M,Can
"by Anson Lo 盧瀚霆, Edan 呂爵安",28,28,28,28,G,Can
by Ariana Grande,134,134,134,134,F,Eng
"by Ariana Grande, Kid Cudi",4,4,4,4,G,Eng
by Avril Lavigne,1,1,1,1,F,Eng
by BAEKHYUN,1,1,1,1,M,Other
by BLACKPINK,173,173,173,173,G,Other
by BTS,187,187,187,187,G,Other
by Bad Bunny,1,1,1,1,M,Eng
"by Bad Bunny, Jhay Cortez",5,5,5,5,G,Eng
by Band Aid,2,2,2,2,G,Eng
by Bella Poarch,15,15,15,15,F,Eng
by Benson Boone,1,1,1,1,M,Eng
by Billie Eilish,91,91,91,91,F,Eng
by Bobby Helms,4,4,4,4,M,Eng
by Brave Girls,11,11,11,11,G,Other
by Brenda Lee,4,4,4,4,F,Eng
by Britney Spears,1,1,1,1,F,Eng
by Bruno Mars,21,21,21,21,M,Eng
"by Bruno Mars, Anderson .Paak, Silk Sonic",59,59,59,59,G,Eng
by Burl Ives,1,1,1,1,M,Eng
"by Byejack, Midnight",18,18,18,18,G,Can
by C AllStar,178,178,178,178,G,Can
by CHUNG HA,2,2,2,2,F,Other
by CJ,9,9,9,9,M,Eng
by CKay,14,14,14,14,M,Eng
